old_url,new_url,title,migrated_at
https://playbook.dxw.com/sales-and-marketing/,https://dxw.getoutline.com/doc/sales-and-marketing-at-dxw-1CDRMc7iPU,"Sales and marketing at dxw",2025-10-16 11:43:18
https://playbook.dxw.com/sales-and-marketing/how-we-do-pitches/,https://dxw.getoutline.com/doc/how-we-do-pitches-gpjtQEY4vB,"How we do pitches",2025-10-16 11:43:18
https://playbook.dxw.com/sales-and-marketing/marketing-and-communications/,https://dxw.getoutline.com/doc/marketing-and-communications-at-dxw-xcKfU6d1TZ,"Marketing and Communications at dxw",2025-10-16 11:43:18
https://playbook.dxw.com/govpress-unit/web-analytics/,https://dxw.getoutline.com/doc/web-analytics-7BHA3itdUt,"Web analytics",2025-10-16 11:43:17
https://playbook.dxw.com/leadership/,https://dxw.getoutline.com/doc/leadership-at-dxw-RRpXnoXMiX,"Leadership at dxw",2025-10-16 11:43:17
https://playbook.dxw.com/product-management/,https://dxw.getoutline.com/doc/product-management-at-dxw-KbAbBRIixQ,"Product management at dxw",2025-10-16 11:43:17
https://playbook.dxw.com/govpress-unit/support/,https://dxw.getoutline.com/doc/govpress-support-YTsJUrmRg6,"GovPress support",2025-10-16 11:43:16
https://playbook.dxw.com/govpress-unit/ways-of-working/,https://dxw.getoutline.com/doc/ways-of-working-cVaU8BqtrK,"Ways of working",2025-10-16 11:43:16
https://playbook.dxw.com/govpress-unit/junior-developer-plan/,https://dxw.getoutline.com/doc/development-plans-junior-developers-atbXu9imNJ,"Development plans - Junior developers",2025-10-16 11:43:15
https://playbook.dxw.com/govpress-unit/plugin-advisories/,https://dxw.getoutline.com/doc/govpress-plugin-advisories-HPApLbcs8O,"GovPress plugin advisories",2025-10-16 11:43:15
https://playbook.dxw.com/govpress-unit/plugin-reviews/,https://dxw.getoutline.com/doc/govpress-plugin-reviews-iLib1OwQjk,"GovPress plugin reviews",2025-10-16 11:43:15
